Player,Span,Matches,Inns,NO,Runs,HS,Ave,centuries,half centuries,zero,Team
SR Tendulkar   ,1989-2013,664,782,74,34357,248,48.52,100,164,34,INDIA
RT Ponting   ,1995-2012,560,668,70,27483,257,45.95,71,146,39,AUS/ICC
KC Sangakkara   ,2000-2015,594,666,67,28016,319,46.77,63,153,28,Asia/ICC/SL
JH Kallis   ,1995-2014,519,617,97,25534,224,49.1,62,149,33,Afr/ICC/SA
V Kohli   ,2008-2018,328,362,56,16969,243,55.45,55,81,19,INDIA
HM Amla   ,2004-2018,319,396,31,17588,311,48.18,54,81,14,SA/World
DPMD Jayawardene   ,1997-2015,652,725,62,25957,374,39.15,54,136,47,Asia/SL
BC Lara   ,1990-2007,430,521,38,22358,400,46.28,53,111,33,ICC/WI
R Dravid   ,1996-2012,509,605,72,24208,270,45.41,48,146,21,Asia/ICC/INDIA
AB de Villiers   ,2004-2018,415,475,66,19557,278,47.81,46,105,19,Afr/SA
ST Jayasuriya   ,1989-2011,586,651,35,21032,340,34.14,42,103,53,Asia/SL
Younis Khan   ,2000-2017,408,491,45,17790,313,39.88,41,83,43,PAK
S Chanderpaul   ,1994-2015,454,553,94,20988,203,45.72,41,125,21,WI
ML Hayden   ,1993-2009,273,348,32,15066,380,47.67,40,69,23,AUS/ICC
Mohammad Yousuf   ,1998-2010,381,432,52,17300,223,45.52,39,97,26,Asia/PAK
CH Gayle   ,1999-2018,433,503,32,18223,333,38.69,39,98,41,ICC/WI
TM Dilshan   ,1999-2016,497,527,64,17671,193,38.16,39,83,35,SL
V Sehwag   ,1999-2013,374,443,15,17253,319,40.31,38,72,31,Asia/ICC/INDIA
ME Waugh   ,1988-2002,372,445,37,16529,173,40.51,38,97,35,AUS
SC Ganguly   ,1992-2008,424,488,40,18575,239,41.46,38,107,29,Asia/INDIA
AN Cook   ,2006-2018,248,371,20,15270,294,43.5,37,74,15,ENG
GC Smith   ,2002-2014,347,432,25,17236,277,42.34,37,90,20,Afr/ICC/SA
MJ Clarke   ,2003-2015,394,449,71,17112,329,45.26,36,86,21,AUS
DA Warner   ,2009-2018,246,304,12,12256,253,41.97,35,57,13,AUS
SM Gavaskar   ,1971-1987,233,316,30,13214,236,46.2,35,72,20,INDIA
IVA Richards   ,1974-1991,308,349,36,15261,291,48.75,35,90,17,WI
HH Gibbs   ,1996-2010,361,417,24,14661,228,37.3,35,66,37,SA
DL Haynes   ,1978-1994,354,439,53,16135,184,41.8,35,96,23,WI
SR Waugh   ,1985-2004,493,548,104,18496,200,41.65,35,95,37,AUS
Inzamam-ul-Haq   ,1991-2007,499,551,76,20580,329,43.32,35,129,35,Asia/ICC/PAK
G Kirsten   ,1993-2004,286,361,34,14087,275,43.07,34,79,24,SA
LRPL Taylor   ,2006-2018,363,407,67,14574,290,42.86,34,74,25,NZ
AC Gilchrist   ,1996-2008,396,429,32,15461,204,38.94,33,81,33,AUS/ICC
KP Pietersen   ,2004-2014,277,342,29,13797,227,44.07,32,67,18,ENG/ICC
SPD Smith   ,2010-2018,199,230,33,9919,239,50.35,31,44,10,AUS
