Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Teams
M Muralitharan   ,1992-2011,495,583,63132,30803,1347,Sep-51,16/220,22.86,2.92,46.8,77,22,Asia/ICC/SL
SK Warne   ,1992-2007,339,464,51347,25536,1001,Aug-71,12/128,25.51,2.98,51.2,38,10,AUS/ICC
A Kumble   ,1990-2008,403,501,55346,28767,956,Oct-74,14/149,30.09,3.11,57.8,37,8,Asia/INDIA
GD McGrath   ,1993-2007,376,493,42266,20656,949,24-Aug,27-Oct,21.76,2.93,44.5,36,3,AUS/ICC
Wasim Akram   ,1984-2003,460,532,40813,21591,916,7/119,11/110,23.57,3.17,44.5,31,5,PAK
SM Pollock   ,1995-2008,423,510,40308,19673,829,Jul-87,10/147,23.73,2.92,48.6,21,1,Afr/ICC/SA
JM Anderson   ,2002-2018,347,460,39606,22746,810,Jul-42,Nov-71,28.08,3.44,48.8,27,3,ENG
Waqar Younis   ,1989-2003,349,412,28922,18707,789,Jul-36,13/135,23.7,3.88,36.6,35,5,PAK
WPUJC Vaas   ,1994-2009,439,520,39345,21643,761,19-Aug,14/191,28.44,3.3,51.7,16,2,Asia/SL
CA Walsh   ,1984-2001,337,446,40841,19606,746,Jul-37,13/55,26.28,2.88,54.7,23,3,WI
B Lee   ,1999-2012,322,392,28261,19145,718,22-May,9/171,26.66,4.06,39.3,19,0,AUS
Harbhajan Singh   ,1998-2016,367,444,41671,23143,711,Aug-84,15/217,32.54,3.33,58.6,28,5,Asia/INDIA
DL Vettori   ,1997-2015,442,498,43661,22863,705,Jul-87,12/149,32.42,3.14,61.9,22,3,ICC/NZ
N Kapil Dev   ,1978-1994,356,448,38942,19812,687,Sep-83,11/146,28.83,3.05,56.6,24,2,INDIA
M Ntini   ,1998-2011,284,371,29713,18099,662,Jul-37,13/132,27.33,3.65,44.8,22,4,ICC/SA
DW Steyn   ,2004-2018,244,314,24113,15156,657,Jul-51,Nov-60,23.06,3.77,36.7,29,5,Afr/SA
SCJ Broad   ,2006-2018,291,384,30815,18561,642,15-Aug,11/121,28.91,3.61,47.9,16,2,ENG
