Year,Overs,Maiden,Runs_Conscided,Wickets_Taken,five_Wickets,ten_Wickets,Avg,Strike_Rate,Econ_Rate
1990,60,10,170,3,0,0,56.67,120,2.83
1992,228.5,75,440,17,1,0,25.88,80.76,1.92
1993,473.2,141,1072,46,3,0,23.3,61.74,2.26
1994,332.2,83,828,33,1,1,25.09,60.42,2.49
1995,72.2,21,152,10,1,0,15.2,43.4,2.1
1996,389.3,87,938,29,1,0,32.34,80.59,2.41
1997,582.2,130,1582,36,2,0,43.94,97.06,2.72
1998,313.2,81,698,36,2,0,19.39,52.22,2.23
1999,581.5,158,1461,54,4,2,27.06,64.65,2.51
2000,152,34,387,12,1,0,32.25,76,2.55
2001,258.1,58,684,24,2,1,28.5,64.54,2.65
2002,521,137,1356,49,2,0,27.67,63.8,2.6
2003,257.3,54,765,21,2,0,36.43,73.57,2.97
2004,613.2,126,1838,74,6,2,24.84,49.73,3
2005,412.4,99,1203,41,3,2,29.34,60.39,2.92
2006,633,130,1910,57,2,0,33.51,66.63,3.02
2007,464,91,1441,49,2,0,29.41,56.82,3.11
2008,462.5,60,1430,28,0,0,51.07,99.18,3.09
