Year,Overs,Maiden,Runs_Conscided,Wickets_Taken,five_Wickets,ten_Wickets,Avg,Strike_Rate,Econ_Rate
1992,125.2,21,381,11,0,0,34.64,68.36,3.04
1993,298.1,78,712,29,2,0,24.55,61.69,2.39
1994,277.2,55,753,16,1,0,47.06,104,2.72
1995,315.4,71,899,25,2,0,35.96,75.76,2.85
1996,105.3,27,195,14,1,0,13.93,45.21,1.85
1997,501,138,1266,40,3,0,31.65,75.15,2.53
1998,550.2,161,1256,68,7,2,18.47,48.56,2.28
1999,307,74,678,24,1,0,28.25,76.75,2.21
2000,623.2,147,1463,75,7,3,19.51,49.87,2.35
2001,781.2,216,1699,80,7,4,21.24,58.6,2.17
2002,472.4,139,979,55,5,2,17.8,51.56,2.07
2003,470.1,182,849,48,3,1,17.69,58.77,1.81
2004,359.3,71,1035,47,5,1,22.02,45.89,2.88
2005,341.3,68,963,52,4,1,18.52,39.4,2.82
2006,588.4,137,1521,90,9,5,16.9,39.24,2.58
2007,416.1,92,1093,49,5,1,22.31,50.96,2.63
2008,369.4,55,1052,43,4,2,24.47,51.58,2.85
2009,374.5,52,1195,26,0,0,45.96,86.5,3.19
2010,61.4,8,191,8,1,0,23.88,46.25,3.1
