Year,Overs,Maiden,Runs_Conscided,Wickets_Taken,five_Wickets,ten_Wickets,Avg,Strike_Rate,Econ_Rate
1992,153.3,32,503,12,1,0,41.92,76.75,3.28
1993,842.2,316,1697,72,2,0,23.57,70.19,2.01
1994,629,217,1274,70,6,2,18.2,53.91,2.03
1995,508.3,156,1254,52,1,1,24.12,58.67,2.47
1996,215.1,55,571,15,0,0,38.07,86.07,2.65
1997,681.5,194,1661,68,2,0,24.43,60.16,2.44
1998,268.1,62,796,24,2,1,33.17,67.04,2.97
1999,464.1,125,1253,38,2,0,32.97,73.29,2.7
2000,154.2,38,496,15,0,0,33.07,61.73,3.21
2001,583.3,113,1809,58,4,1,31.19,60.36,3.1
2002,479,109,1310,67,3,1,19.55,42.9,2.73
2004,578.4,124,1685,70,5,2,24.07,49.6,2.91
2005,722.4,141,2114,96,6,2,22.02,45.17,2.93
2006,474.4,78,1480,49,3,0,30.2,58.12,3.12
2007,28.4,2,92,2,0,0,46,86,3.21
