name,age,gender,movies,genre,language
arnab basak,26,male,dangal,biography-Drama,Hindi
,,,Thor Ragnarock,Action-Adventure-Comedy,English
,,,Justice league,Action-Adventure-fantasy,English
,,,Sachin a billion dreams,Documentry-biography-drama,hindi
,,,Bahuballi 2,Action-Adventure-fantasy,HIndi
,,,Judwa 2,Action-comedy,hindi
,,,badri ki dulanyian,comedy-drama-romance,hindi
,,,toilet ek prem katha,comdey-drama,hindi
,,,hindi medium,comdey-drama,hindi
,,,jab harry met sejal,comedy-drama-romance,hindi
,,,tublight,drama-war,hindi
,,,jagga jasoos,Action-Adventure-Comedy,hindi
,,,dunkirk,Action-Drama-History,English
,,,Raees,action-crime-thriller,hindi
,,,Kabil,action-drama-thriller,hindi
,,,Jolly LLB2,comedy-crime-drama,hindi
,,,the Gahzi attack,action-thirller-war,hindi
,,,Phillauri,comdey-drama-fantasy,hindi
,,,meri Pyari bindu,comedy-drama-romance,hindi
,,,Half girlfriend,drama-romance,hindi
,,,barellliy k barfi,comedy-romance,hindi
,,,newton,comedy-drama,hindi
,,,ae dil hai muskil,drama-music-musical,hindi
