Player	Country	Start_year	End_Year	Span	Matches	Innings_Payled	innings_not_played	Not_Outs	Runs	High_Scores	Average	Balls Faces	Strike_Rate	Centuries	half_Centuries	Zeros	Fours	Sixes	Runs_Scored_in_Boundaries	Percentage_of_runs_Scored_in_Boundaries	Conversion_rate	Percentages_of_Zeros	Percentages_of_Not_Outs	Runs_scored_Through_Fours	Runs_Scored_Throught_Sixes	Percetage_Of_Runs_Scored_in_Fours	Percetage_Of_Runs_Scored_in_Sixes
SR Tendulkar 	INDIA	1989	2012	23	463	452	11	41	18426	200	44.83	21367	86.23	49	96	20	2016	195	9234	50	51.0416666667	4.4247787611	9.0707964602	8064	1170	44	6
KC Sangakkara 	SL	2000	2015	15	404	380	24	41	14234	169	41.98	18048	78.86	25	93	15	1385	88	6068	43	26.8817204301	3.9473684211	10.7894736842	5540	528	39	4
RT Ponting 	AUS	1995	2012	17	375	365	10	39	13704	164	42.03	17046	80.39	30	82	20	1231	162	5896	43	36.5853658537	5.4794520548	10.6849315068	4924	972	36	7
ST Jayasuriya 	SL	1989	2011	22	445	433	12	18	13430	189	32.36	14725	91.2	28	68	34	1500	270	7620	57	41.1764705882	7.8521939954	4.1570438799	6000	1620	45	12
DPMD Jayawardene 	SL	1998	2015	17	448	418	30	39	12650	144	33.37	16020	78.96	19	77	28	1119	76	4932	39	24.6753246753	6.6985645933	9.3301435407	4476	456	35	4
V Kohli 	INDIA	2008	2020	12	248	239	9	39	11867	183	59.33	12726	93.25	43	58	13	1116	121	5190	44	74.1379310345	5.4393305439	16.3179916318	4464	726	38	6
Inzamam-ul-Haq 	PAK	1991	2007	16	378	350	28	53	11739	137	39.52	15812	74.24	10	83	20	971	144	4748	40	12.0481927711	5.7142857143	15.1428571429	3884	864	33	7
JH Kallis 	SA	1996	2014	18	328	314	14	53	11579	139	44.36	15885	72.89	17	86	17	911	137	4466	39	19.7674418605	5.4140127389	16.8789808917	3644	822	31	7
SC Ganguly 	INDIA	1992	2007	15	311	300	11	23	11363	183	41.02	15416	73.7	22	72	16	1122	190	5628	50	30.5555555556	5.3333333333	7.6666666667	4488	1140	39	10
R Dravid 	INDIA	1996	2011	15	344	318	26	40	10889	153	39.16	15284	71.24	12	83	13	950	42	4052	37	14.4578313253	4.0880503145	12.5786163522	3800	252	35	2
