Matches	Runs
1	12
2	37
3	25
4	54
5	31
6	2
7	16
8	
9	79
10	30
11	10
12	27
13	54
14	107
15	
16	9
17	91
18	71
19	102
20	2
21	31
22	
23	57
24	0
25	82
26	18
27	68
28	11
29	18
30	10
31	28
32	0
33	8
34	37
35	118
36	105
37	64
38	63
39	0
40	2
41	54
42	22
43	28
44	87
45	2
46	100
47	8
48	34
49	12
50	1
51	59
52	24
53	9
54	35
55	2
56	81
57	0
58	22
59	94
60	55
61	9
62	7
63	16
64	107
65	37
66	112
67	35
68	86
69	0
70	3
71	117
72	20
73	23
74	80
75	31
76	77
77	18
78	15
79	12
80	66
81	21
82	133
83	108
84	66
85	183
86	106
87	1
88	38
89	128
90	23
91	0
92	6
93	7
94	15
95	37
96	77
97	26
98	0
99	31
100	22
101	22
102	58
103	43
104	11
105	2
106	102
107	31
108	2
109	115
110	14
111	68
112	
113	 
114	61
115	100
116	68
117	
118	115
119	0
120	86
121	99
122	19
123	31
124	0
125	
126	123
127	78
128	6
129	2
130	82
131	136
132	48
133	5
134	
135	0
136	40
137	1
138	13
139	2
140	62
141	127
142	22
143	49
144	53
145	66
146	139
147	9
148	4
149	3
150	8
151	107
152	46
153	33
154	33
155	44
156	38
157	3
158	1
159	1
160	23
161	25
162	11
163	12
164	77
165	138
166	7
167	91
168	59
169	117
170	106
171	8
172	85
173	9
174	154
175	45
176	65
177	122
178	8
179	55
180	81
181	0
182	76
183	96
184	5
185	32
186	87
187	11
188	3
189	111
190	82
191	4
192	3
193	131
194	110
195	0
196	92
197	28
198	21
199	39
200	121
201	29
202	113
203	112
204	46
205	160
206	75
207	36
208	129
209	75
210	45
211	71
212	140
213	157
214	107
215	16
216	33
217	3
218	104
219	46
220	45
221	43
222	60
223	44
224	116
225	123
226	7
227	20
228	18
229	82
230	77
231	67
232	72
233	66
234	26
235	34
236	1
237	
238	120
239	114
240	4
241	0
242	85
243	16
244	78
245	89
246	51
247	15
248	9
