Matches	Runs
1	0
2	8
3	9
4	61
5	90
6	90
7	129
8	199
9	200
10	224
11	225
12	228
13	294
14	296
15	305
16	331
17	355
18	366
19	366
20	388
21	446
22	468
23	471
24	490
25	490
26	522
27	540
28	543
29	554
30	557
31	585
32	593
33	618
34	622
35	637
36	637
37	680
38	684
39	684
40	695
41	695
42	743
43	857
44	958
45	971
46	1003
47	1003
48	1025
49	1094
50	1135
51	1139
52	1139
53	1150
54	1155
55	1199
56	1199
57	1210
58	1219
59	1242
60	1243
61	1248
62	1316
63	1323
64	1409
65	1448
66	1505
67	1505
68	1577
69	1667
70	1762
71	1789
72	1810
73	1831
74	1841
75	1874
76	1889
77	1889
78	1889
79	1893
80	1961
81	1966
82	1966
83	1966
84	1970
85	1974
86	1978
87	2061
88	2065
89	2130
90	2182
91	2200
92	2233
93	2242
94	2302
95	2307
96	2353
97	2401
98	2459
99	2479
100	2480
101	2494
102	2558
103	2600
104	2741
105	2752
106	2761
107	2840
108	3049
109	3121
110	3133
111	3137
112	3155
113	3174
114	3174
115	3177
116	3197
117	3236
118	3315
119	3319
120	3340
121	3353
122	3409
123	3427
124	3479
125	3743
126	3752
127	3890
128	3905
129	3905
130	3962
131	3969
132	4033
133	4049
134	4186
135	4220
136	4283
137	4283
138	4312
139	4462
140	4465
141	4530
142	4551
143	4567
144	4738
145	4862
146	4868
147	4909
148	5008
149	5022
150	5037
151	5050
152	5061
153	5131
154	5222
155	5300
156	5312
157	5435
158	5435
159	5439
160	5493
161	5617
162	5721
163	5737
164	5765
165	5772
166	5843
167	5908
168	6033
169	6053
170	6060
171	6207
172	6209
173	6417
174	6424
175	6444
176	6459
177	6459
178	6464
179	6579
180	6594
181	6731
182	6746
183	6748
184	6771
185	6823
186	6906
187	7017
188	7065
189	7217
190	7221
191	7229
192	7391
193	7454
194	7587
195	7630
196	7639
197	7650
198	7737
199	7799
200	7806
201	7808
202	7845
203	7845
204	7859
205	7954
206	8010
207	8132
208	8189
209	8329
210	8330
211	8348
212	8450
213	8554
214	8657
215	8658
216	8658
217	8676
218	8686
219	8722
220	8881
221	8944
222	8954
223	8996
224	9115
