Matches	Runs
1	0
2	41
3	61
4	79
5	94
6	94
7	106
8	139
9	139
10	144
11	144
12	170
13	216
14	240
15	240
16	251
17	251
18	251
19	268
20	268
21	293
22	294
23	294
24	299
25	299
26	299
27	317
28	317
29	343
30	343
31	351
32	372
33	380
34	399
35	400
36	431
37	467
38	477
39	578
40	590
41	667
42	677
43	750
44	854
45	921
46	958
47	1005
48	1107
49	1107
50	1147
51	1152
52	1156
53	1251
54	1323
55	1323
56	1388
57	1493
58	1549
59	1570
60	1614
61	1684
62	1709
63	1714
64	1726
65	1875
66	1921
67	1962
68	2013
69	2041
70	2059
71	2061
72	2082
73	2088
74	2096
75	2148
76	2222
77	2222
78	2300
79	2346
80	2404
81	2434
82	2493
83	2501
84	2515
85	2623
86	2644
87	2644
88	2808
89	2880
90	2880
91	2880
92	2940
93	3048
94	3097
95	3101
96	3109
97	3131
98	3187
99	3188
100	3247
101	3310
102	3313
103	3329
104	3352
105	3370
106	3415
107	3419
108	3431
109	3449
110	3522
111	3591
112	3601
113	3674
114	3675
115	3713
116	3718
117	3725
118	3810
119	3810
120	3908
121	4039
122	4115
123	4128
124	4148
