Matches	Runs
1	12
2	49
3	74
4	128
5	159
6	161
7	177
8	177
9	256
10	286
11	296
12	323
13	377
14	484
15	484
16	493
17	584
18	655
19	757
20	759
21	790
22	790
23	847
24	847
25	929
26	947
27	1015
28	1026
29	1044
30	1054
31	1082
32	1082
33	1090
34	1127
35	1245
36	1350
37	1414
38	1477
39	1477
40	1479
41	1533
42	1555
43	1583
44	1670
45	1672
46	1772
47	1780
48	1814
49	1826
50	1827
51	1886
52	1910
53	1919
54	1954
55	1956
56	2037
57	2037
58	2059
59	2153
60	2208
61	2217
62	2224
63	2240
64	2347
65	2384
66	2496
67	2531
68	2617
69	2617
70	2620
71	2737
72	2757
73	2780
74	2860
75	2891
76	2968
77	2986
78	3001
79	3013
80	3079
81	3100
82	3233
83	3341
84	3407
85	3590
86	3696
87	3697
88	3735
89	3863
90	3886
91	3886
92	3892
93	3899
94	3914
95	3951
96	4028
97	4054
98	4054
99	4085
100	4107
101	4129
102	4187
103	4230
104	4241
105	4243
106	4345
107	4376
108	4378
109	4493
110	4507
111	4575
112	4575
113	4575
114	4636
115	4736
116	4804
117	4804
118	4919
119	4919
120	5005
121	5104
122	5123
123	5154
124	5154
125	5154
126	5277
127	5355
128	5361
129	5363
130	5445
131	5581
132	5629
133	5634
134	5634
135	5634
136	5674
137	5675
138	5688
139	5690
140	5752
141	5879
142	5901
143	5950
144	6003
145	6069
146	6208
147	6217
148	6221
149	6224
150	6232
151	6339
152	6385
153	6418
154	6451
155	6495
156	6533
157	6536
158	6537
159	6538
160	6561
161	6586
162	6597
163	6609
164	6686
165	6824
166	6831
167	6922
168	6981
169	7098
170	7204
171	7212
172	7297
173	7306
174	7460
175	7505
176	7570
177	7692
178	7700
179	7755
180	7836
181	7836
182	7912
183	8008
184	8013
185	8045
186	8132
187	8143
188	8146
189	8257
190	8339
191	8343
192	8346
193	8477
194	8587
195	8587
196	8679
197	8707
198	8728
199	8767
200	8888
201	8917
202	9030
203	9142
204	9188
205	9348
206	9423
207	9459
208	9588
209	9663
210	9708
211	9779
212	9919
213	10076
214	10183
215	10199
216	10232
217	10235
218	10339
219	10385
220	10430
221	10473
222	10533
223	10577
224	10693
225	10816
226	10823
227	10843
228	10861
229	10943
230	11020
231	11087
232	11159
233	11225
234	11251
235	11285
236	11286
237	11286
238	11406
239	11520
240	11524
241	11524
242	11609
243	11625
244	11703
245	11792
246	11843
247	11858
248	11867
